robot_id,avg_current_fluctuation_1,avg_current_fluctuation_2,avg_current_fluctuation_3,avg_current_fluctuation_4,avg_current_fluctuation_5,avg_current_fluctuation_6,avg_inst_inst_temperature_1,avg_inst_inst_temperature_2,avg_inst_inst_temperature_3,avg_inst_inst_temperature_4,avg_inst_inst_temperature_5,avg_inst_inst_temperature_6,sum_running_time,sum_running_circles_1,sum_running_circles_2,sum_running_circles_3,sum_running_circles_4,sum_running_circles_5,sum_running_circles_6
Zu7210015,2.781092175,0.540050951,18.26045776,0.608958776,0.635943714,0.582234982,39.916282,41.18241786,40.48739798,48.11241994,50.0158843,51.21689374,10664959,58416,50546,58767,59513,26715,49687
Zu7210070,13.65503,16.92703289,13.07217699,1.492396079,1.131061174,1.225599957,37.63386544,41.17926398,38.626982,47.25549068,48.50964217,50.1281337,23654346,42949660,3405800,5179013,6667523,2357474,3908958
Zu12100040,15.659775,16.907575,15.68095,14.47205,10.996415,13.04055,56,77.02359,49.989335,49.86588,51.065505,51.005055,1318601,1148824,781703,969168,1580378,1045185,430505
Zu3100091,1.0218965,0.74108,0.698144,0.8753995,1.0183235,0.731579,47.06798,49.46164,49.63417,47.783485,48.170405,50.11673,13982800,376856.8125,378513.1875,383420.9063,414698.1875,400250.5938,279680.1875
Zu7250098,1.95419246,0.84471588,0.527591027,2.030588653,2.830408929,2.305007877,47.83693892,44.64374626,40.46362245,49.17131509,50.29556902,50.72668575,12819108,1876323,1552432,1715363,1802528,801595,1860704
C7300104,9.643835616,14.80821918,17.91780822,16.8630137,15.4109589,14.97260274,49.21917808,51.32876712,48,50.32876712,50.94520548,49.38356164,58058,71835,89924,95693,83248,41516,67398
C7300105,9.606741573,15.68539326,12.5505618,16.75280899,13.25842697,12.80898876,42.7752809,44.75280899,42.75280899,46.61797753,48.21348315,47.70786517,179417,150422,185086,212483,226712,105211,177542
Zu12100319,0.505858138,1.339750897,0.777063542,0.742347477,0.652322145,0.560650201,48.62993456,58.3857927,47.60375765,51.49419464,54.19791007,52.1111463,567558,56629.5,59851.5,72303,73999.7969,40503.8984,34276.6016
Zu12110106,1.110874832,2.214724092,1.786253926,1.126729475,1.336644235,1.165796321,52.44387618,61.24656797,51.56159713,52.33692239,55.58716913,52.77039031,204055,49119.6992,59879.3984,68321.7969,71787.3984,33735.6016,15433.5
Zu7210079,2.909800516,3.819358445,4.238392035,0.358557697,0.358931773,0.339567,40.15512913,42.94758011,41.45251974,51.58745438,52.49020862,53.00710885,9599314,94776.6016,104186.8984,118370.8984,125903.7969,47449.3984,105247.7031
